کارنامه سال,سهمیه,قبولی,رتبه سهمیه زیرگروه ۱,رتبه سهمیه زیرگروه ۲,رتبه سهمیه زیرگروه ۳,رتبه سهمیه زیرگروه ۴,معدل موثر,زبان انگلیسی,مجموعه ریاضیات,دروس تخصصی ۱,دروس تخصصی ۲,دروس تخصصی ۳,دروس تخصصی ۴,رتبه کشور زیرگروه ۱,رتبه کشور زیرگروه ۲,رتبه کشور زیرگروه ۳,رتبه کشور زیرگروه ۴,میانگین درصد ضریب ۱,میانگین درصد ضریب ۲,میانگین درصد ضریب ۳,میانگین درصد ضریب ۴
1404,0,-,275,200,266,261,17.02,74.67,5.00,80.00,26.67,36.67,28.33,296,216,284,281,36.53,39.31,37.09,36.42
1404,0,هوش مصنوعی علم و صنعت,284,228,340,250,16.77,-2.66,18.33,36.67,51.67,23.33,43.33,307,248,366,269,33.71,35.16,32.38,34.27
1404,0,هوش مصنوعی خواجه نصیر,287,274,229,235,16.63,48.00,-1.66,36.67,46.67,56.67,26.67,310,295,246,254,35.65,35.65,37.65,36.98
1404,0,-,294,256,287,315,17.00,96.00,33.33,56.67,10.00,28.33,23.33,318,277,308,341,32.29,33.29,32.62,31.40
1404,0,شبکه‌های کامپیوتری علم و صنعت,295,318,413,383,18.58,89.33,10.00,36.67,20.00,11.67,53.33,320,343,446,414,32.73,32.18,29.96,30.51
1404,0,-,297,254,348,318,17.00,70.67,10.00,50.00,25.00,20.00,38.33,322,275,374,344,31.93,33.04,30.71,31.04
1404,0,-,307,287,302,307,18.27,89.33,0.00,50.00,26.67,36.67,33.33,332,309,327,331,34.18,34.62,34.40,33.73
1404,0,-,307,287,302,307,18.27,89.33,0.00,50.00,26.67,36.67,33.33,332,309,327,331,34.18,34.62,34.40,33.73
1404,0,-,309,344,307,279,15.87,8.00,3.33,23.33,48.33,46.67,43.33,334,369,332,301,34.64,33.42,34.87,34.98
1404,0,-,309,344,307,279,15.87,8.00,3.33,23.33,48.33,46.67,43.33,334,369,332,301,34.64,33.42,34.87,34.98
1404,0,هوش مصنوعی شیراز خودگردان,312,415,373,402,15.69,82.67,1.67,30.00,21.67,33.33,55.00,337,446,402,433,35.40,32.96,33.96,33.18
1404,0,هوش مصنوعی صنعتی اصفهان,314,334,323,330,20.00,46.67,5.00,46.00,25.00,36.67,38.33,339,359,349,357,32.47,32.20,32.36,31.58
1404,0,-,315,272,319,283,17.93,22.67,21.67,40.00,38.33,31.67,33.33,340,293,345,305,32.62,33.51,32.51,32.96
1404,0,-,315,272,319,283,17.93,22.67,21.67,40.00,38.33,31.67,33.33,340,293,345,305,32.62,33.51,32.51,32.96
1404,0,-,321,355,283,323,17.52,10.67,13.33,46.67,26.67,55.00,31.67,346,382,304,349,33.49,32.60,35.05,33.16
